beta,acc_reconstruida,acc_guardada,conf_media,conf_std,entropia_media,entropia_std,conf_correcta,conf_incorrecta,brecha_confianza,ece,logit_std,logit_mean_abs,frac_saturada
1.0,0.6487833333333334,0.6488000154495239,0.10554078,0.0029006235,2.302089,0.00040137387,0.10624537,0.10423922,0.0020061508,0.5432425511201223,0.031755343,0.024466423,0.0
50.0,0.8331666666666667,0.8331667184829712,0.45835313,0.18077624,1.6698948,0.39446405,0.49265325,0.287058,0.20559525,0.3748182942442596,1.1089312,0.873898,0.0
100.0,0.8665,0.8664999008178711,0.6340262,0.20976987,1.1703001,0.50755954,0.6716956,0.38952845,0.28216714,0.23247812643771368,1.8168381,1.4683473,0.0
150.0,0.8664166666666666,0.8664166331291199,0.68361884,0.21220377,1.0093751,0.5214766,0.7219387,0.43507737,0.28686136,0.18279787068963052,2.3037877,1.7015488,0.0002
200.0,0.8192333333333334,0.8192332983016968,0.6714089,0.21576212,1.0131491,0.5159704,0.7188873,0.45623684,0.2626505,0.14785224736432231,2.6766806,2.622389,0.0007666666666666667
250.0,0.8011166666666667,0.8011166453361511,0.6833473,0.21914516,0.9656641,0.5220201,0.7353184,0.4740037,0.26131472,0.11776938343693812,3.1606505,4.517879,0.0018833333333333334
300.0,0.7148,0.7148000001907349,0.65646213,0.22637887,1.018051,0.5377096,0.7263741,0.48124072,0.24513337,0.05841883742958307,3.5781853,5.601241,0.0015666666666666667
350.0,0.6787666666666666,0.6787667274475098,0.66248465,0.2219208,0.9836018,0.51715666,0.7400575,0.49857292,0.24148461,0.026020288475851208,4.1302843,7.3631573,0.0056166666666666665
400.0,0.6516333333333333,0.6516333818435669,0.6703791,0.22127086,0.9632819,0.517624,0.7474863,0.52614707,0.22133923,0.028017066698769716,4.9328303,10.239692,0.0031666666666666666
450.0,0.6199166666666667,0.6199166178703308,0.67405945,0.21397398,0.936705,0.49644598,0.75467503,0.5425753,0.21209973,0.05463292517786225,5.3967943,11.401137,0.00735
500.0,0.6184333333333333,0.6184333562850952,0.68719774,0.21742356,0.8932394,0.501018,0.76716125,0.557595,0.20956624,0.0696706175195674,6.2102475,14.741941,0.0066166666666666665
550.0,0.5694666666666667,0.5694666504859924,0.69376916,0.21068804,0.8699665,0.49038443,0.78067034,0.57882494,0.20184541,0.12430253065675496,6.930721,14.936149,0.009066666666666667
600.0,0.53265,0.5326499938964844,0.7266641,0.20585436,0.778223,0.47747788,0.8120018,0.62940276,0.18259907,0.19401413567960266,7.5733423,19.117947,0.012183333333333332
650.0,0.57175,0.5717499852180481,0.6974052,0.20224337,0.8311572,0.44859526,0.7698877,0.6006349,0.16925281,0.1256986328025659,8.44643,21.292961,0.0057666666666666665
700.0,0.5914666666666667,0.5914667248725891,0.7154377,0.21137087,0.7873242,0.48596,0.79225326,0.6042255,0.18802774,0.12401563801690935,9.22497,23.54114,0.020183333333333334
750.0,0.5674666666666667,0.567466676235199,0.729141,0.20570254,0.75774693,0.47012457,0.81110716,0.6216049,0.18950224,0.16171503127887846,9.902573,25.184303,0.021366666666666666
800.0,0.58395,0.5839499831199646,0.74191695,0.20080262,0.7106729,0.45388138,0.81557417,0.63853496,0.1770392,0.15796697651396197,10.39248,26.995634,0.022583333333333334
850.0,0.4927666666666667,0.49276667833328247,0.7663723,0.20184815,0.65023935,0.46424514,0.83385795,0.7008115,0.13304645,0.27383213899483283,11.283408,27.06566,0.03211666666666667
900.0,0.5349666666666667,0.5349666476249695,0.7552667,0.20188732,0.6628327,0.45422313,0.8342616,0.6643924,0.16986918,0.22054105205287539,12.090453,31.668396,0.04543333333333333
950.0,0.5389833333333334,0.5389833450317383,0.772549,0.19660248,0.6236736,0.44649997,0.8465399,0.6860446,0.16049534,0.23356555124819278,12.467673,32.974945,0.046
1000.0,0.5364333333333333,0.5364333391189575,0.7656028,0.19581111,0.62305915,0.43098348,0.84223574,0.6769243,0.16531146,0.22918461678971846,13.371226,35.079273,0.0387
1050.0,0.5567833333333333,0.5567833185195923,0.7818351,0.19180103,0.5887868,0.42447573,0.8483096,0.6983277,0.14998186,0.2250517718039453,14.023338,37.362526,0.04525
1100.0,0.5422,0.542199969291687,0.7894685,0.19054626,0.5590287,0.41910127,0.8580224,0.70827603,0.14974636,0.24732051340242225,14.656453,39.418938,0.0452
1150.0,0.57115,0.571150004863739,0.78963727,0.1979574,0.5637714,0.44154313,0.86054736,0.69519806,0.1653493,0.21898326862305403,15.830686,40.34285,0.0561
1200.0,0.4917666666666667,0.49176669120788574,0.80869544,0.19037323,0.5178382,0.42584255,0.8743669,0.7451518,0.12921506,0.3169287598282099,16.176682,42.981594,0.07733333333333334
1250.0,0.5035,0.5035000443458557,0.82159585,0.18179736,0.47799578,0.40115774,0.8757742,0.7666536,0.10912061,0.31810552470261855,16.870049,44.892456,0.08655
1300.0,0.5238333333333334,0.5238333344459534,0.818047,0.18635915,0.48818526,0.41197821,0.877295,0.7528679,0.12442714,0.294213707545648,17.494534,47.619938,0.0816
1350.0,0.5378833333333334,0.5378833413124084,0.80582315,0.18965068,0.5149195,0.41656008,0.8724736,0.7282451,0.14422852,0.26793985449622076,18.179346,49.426445,0.06385
1400.0,0.52565,0.5256499648094177,0.8114231,0.18663384,0.49977484,0.40974778,0.86960053,0.74695396,0.12264657,0.28577312192569176,18.930637,51.265976,0.08013333333333333
1450.0,0.5139,0.5139000415802002,0.82804835,0.18079907,0.45315713,0.3925841,0.8890461,0.7635622,0.12548387,0.314148348843058,19.600012,53.294186,0.09226666666666666
1500.0,0.5434666666666667,0.5434666872024536,0.8201742,0.18689726,0.47662362,0.41128954,0.8810302,0.74773014,0.13330007,0.2767075889155269,20.493834,55.48107,0.09746666666666666
1550.0,0.5005166666666667,0.5005167126655579,0.8354493,0.1780382,0.4323355,0.38557398,0.889026,0.7817617,0.10726428,0.334979292311271,20.829319,56.395687,0.09175
1600.0,0.5406666666666666,0.5406666994094849,0.83298045,0.18557951,0.4402074,0.4135638,0.8983283,0.7560616,0.14226669,0.2923137651314338,21.73702,59.222305,0.12548333333333334
1650.0,0.49943333333333334,0.49943333864212036,0.8589424,0.1669162,0.36881077,0.35789928,0.9068139,0.8111791,0.09563482,0.3595090106825034,22.31161,60.190895,0.14578333333333332
1700.0,0.5216,0.5215999484062195,0.83222836,0.17905305,0.43455678,0.3852679,0.88460225,0.77512497,0.10947728,0.3106623149151604,22.961523,62.026947,0.10036666666666667
1750.0,0.5059833333333333,0.5059833526611328,0.85350126,0.1721565,0.37986585,0.36832857,0.9101433,0.7954871,0.11465621,0.3475178848798076,23.565783,64.11024,0.13708333333333333
1800.0,0.49118333333333336,0.491183340549469,0.8665114,0.16731301,0.34785807,0.360811,0.91841066,0.8164108,0.10199988,0.3753280606036385,24.243204,66.769455,0.15955
1850.0,0.5091666666666667,0.5091666579246521,0.86249137,0.16998895,0.3585838,0.36874112,0.9116098,0.8115382,0.10007161,0.3533246372016768,25.257732,69.374306,0.178
1900.0,0.50905,0.5090333819389343,0.860765,0.1696165,0.35641015,0.35697228,0.91150755,0.8081518,0.103355765,0.351715001343439,26.076777,71.04491,0.14978333333333332
1950.0,0.5047666666666667,0.5047666430473328,0.85772234,0.17484164,0.36570108,0.37619394,0.9202278,0.7940135,0.12621433,0.3529556176895897,26.785788,72.731606,0.18615
