combo,inl_tag,pulsos,n_betas,beta_optimo_100ep,acc_optimo_100ep,epoca_min_indice_estable,epoca_min_acc_ganador,epoca_min_regret,regret_max_observado,epoca_min_regret_tol0.02,epoca_min_regret_tol0.01,epoca_min_regret_tol0.005,epoca_min_regret_tol0.002
beta_grid_search_SP_INL_1e-2_p_50,1e-2,50,40,250.0,0.8946593,1,2,1,0.00013178586959838867,1,1,1,1
beta_grid_search_SP_INL_1e-3_p_50,1e-3,50,40,400.0,0.90760905,42,2,1,0.004310786724090576,1,1,1,22
beta_grid_search_SP_INL_1e-4_p_50,1e-4,50,40,300.0,0.8999854,4,3,1,0.005881130695343018,1,1,2,4
beta_grid_search_SP_INL_1e-5_p_50,1e-5,50,40,250.0,0.8979759,3,4,1,0.008123695850372314,1,1,3,3
beta_grid_search_SP_INL_2e-1_p_50,2e-1,50,40,100.0,0.8478983,1,1,1,0.0,1,1,1,1
beta_grid_search_SP_INL_4.82e-6_p_50,4.82e-6,50,40,250.0,0.89698845,7,6,1,0.007569253444671631,1,1,7,7
beta_grid_search_SP_INL_5e-2_p_50,5e-2,50,40,200.0,0.8843782,1,2,1,0.0005781650543212891,1,1,1,1
beta_grid_search_SP_INL_5e-3_p_50,5e-3,50,40,250.0,0.9016255,8,2,8,0.014784395694732666,1,8,8,8
beta_grid_search_SP_INL_5e-4_p_50,5e-4,50,40,350.0,0.9068982,19,2,1,0.008123159408569336,1,1,19,19
beta_grid_search_SP_INL_5e-5_p_50,5e-5,50,40,350.0,0.906766,38,3,1,0.0030059218406677246,1,1,1,38
beta_grid_search_SP_INL_1e-2_p_100,1e-2,100,40,350.0,0.90906656,1,3,1,0.0006083250045776367,1,1,1,1
beta_grid_search_SP_INL_1e-3_p_100,1e-3,100,40,500.0,0.9145518,93,3,1,0.0017226338386535645,1,1,1,1
beta_grid_search_SP_INL_1e-4_p_100,1e-4,100,40,450.0,0.9135991,29,4,1,0.0005483031272888184,1,1,1,1
beta_grid_search_SP_INL_1e-5_p_100,1e-5,100,40,550.0,0.9137334,99,4,1,0.0013107061386108398,1,1,1,1
beta_grid_search_SP_INL_2e-1_p_100,2e-1,100,40,100.0,0.8657343,1,1,1,0.0014601945877075195,1,1,1,1
beta_grid_search_SP_INL_4.82e-6_p_100,4.82e-6,100,40,400.0,0.91319,93,4,1,0.002190113067626953,1,1,1,4
beta_grid_search_SP_INL_5e-2_p_100,5e-2,100,40,350.0,0.9028859,1,2,1,0.0006677508354187012,1,1,1,1
beta_grid_search_SP_INL_5e-3_p_100,5e-3,100,40,450.0,0.9111042,92,3,1,0.0010218024253845215,1,1,1,1
beta_grid_search_SP_INL_5e-4_p_100,5e-4,100,40,450.0,0.91402835,26,3,1,0.007618427276611328,1,1,2,2
beta_grid_search_SP_INL_5e-5_p_100,5e-5,100,40,450.0,0.91415906,95,4,1,0.0005646944046020508,1,1,1,1
beta_grid_search_SP_INL_1e-2_p_200,1e-2,200,40,750.0,0.9162666,100,4,1,0.0003757476806640625,1,1,1,1
beta_grid_search_SP_INL_1e-3_p_200,1e-3,200,40,650.0,0.9180416,85,4,1,0.004503071308135986,1,1,1,2
beta_grid_search_SP_INL_1e-4_p_200,1e-4,200,40,700.0,0.9175094,100,4,1,0.0017409324645996094,1,1,1,1
beta_grid_search_SP_INL_1e-5_p_200,1e-5,200,40,600.0,0.91732496,97,4,1,0.0004693269729614258,1,1,1,1
beta_grid_search_SP_INL_2e-1_p_200,2e-1,200,40,200.0,0.88959575,1,2,1,0.00749659538269043,1,1,2,2
beta_grid_search_SP_INL_4.82e-6_p_200,4.82e-6,200,40,700.0,0.91725403,100,5,1,0.0003058910369873047,1,1,1,1
beta_grid_search_SP_INL_5e-2_p_200,5e-2,200,40,600.0,0.911796,98,3,1,0.0008683204650878906,1,1,1,1
beta_grid_search_SP_INL_5e-3_p_200,5e-3,200,40,750.0,0.9173957,99,4,1,0.001457512378692627,1,1,1,1
beta_grid_search_SP_INL_5e-4_p_200,5e-4,200,40,700.0,0.9179793,100,4,1,0.007480025291442871,1,1,3,4
beta_grid_search_SP_INL_5e-5_p_200,5e-5,200,40,650.0,0.91732675,75,4,1,0.002587437629699707,1,1,1,2
