combo,inl_tag,pulsos,n_series,n_folds,prob_regret_ok,regret_mediana,regret_p90
beta_grid_search_SP_INL_1e-2_p_100,1e-2,100,1,5,1.0,0.0006081461906433105,0.0024214982986450195
beta_grid_search_SP_INL_1e-2_p_100,1e-2,100,2,5,1.0,0.0006081461906433105,0.0008748769760131836
beta_grid_search_SP_INL_1e-2_p_100,1e-2,100,3,5,1.0,0.0006081461906433105,0.0008748769760131836
beta_grid_search_SP_INL_1e-2_p_100,1e-2,100,5,5,1.0,0.0006081461906433105,0.0008748769760131836
beta_grid_search_SP_INL_1e-2_p_100,1e-2,100,8,5,1.0,0.0006081461906433105,0.0008748769760131836
beta_grid_search_SP_INL_1e-2_p_100,1e-2,100,12,5,1.0,0.0006081461906433105,0.0006348192691803039
beta_grid_search_SP_INL_1e-2_p_100,1e-2,100,16,5,1.0,0.0006081461906433105,0.0006081461906433105
beta_grid_search_SP_INL_1e-2_p_100,1e-2,100,20,5,1.0,0.0006081461906433105,0.0006081461906433105
beta_grid_search_SP_INL_1e-2_p_200,1e-2,200,1,5,1.0,0.00025331974029541016,0.001800835132598877
beta_grid_search_SP_INL_1e-2_p_200,1e-2,200,2,5,1.0,0.00021916627883911133,0.0016258955001831055
beta_grid_search_SP_INL_1e-2_p_200,1e-2,200,3,5,1.0,0.0001551508903503418,0.0007098913192749023
beta_grid_search_SP_INL_1e-2_p_200,1e-2,200,5,5,1.0,0.0001551508903503418,0.00032579898834228516
beta_grid_search_SP_INL_1e-2_p_200,1e-2,200,8,5,1.0,0.0001551508903503418,0.00021916627883911133
beta_grid_search_SP_INL_1e-2_p_200,1e-2,200,12,5,1.0,0.0001551508903503418,0.00021916627883911133
beta_grid_search_SP_INL_1e-2_p_200,1e-2,200,16,5,1.0,0.0001551508903503418,0.0001551508903503418
beta_grid_search_SP_INL_1e-2_p_200,1e-2,200,20,5,1.0,0.0001551508903503418,0.0001551508903503418
