inl_tag,carpeta,pulsos_pot,a_pot,inl_pot_real,beta_optimo,acc_optima
1e-2,beta_grid_search_SP_INL_1e-2_p_100,100,98.55,0.009984686048393763,350.0,0.90906656
1e-2,beta_grid_search_SP_INL_1e-2_p_200,200,197.99,0.009996308077117336,750.0,0.9162667
1e-2,beta_grid_search_SP_INL_1e-2_p_50,50,48.83,0.009959610328542564,250.0,0.8946592
1e-3,beta_grid_search_SP_INL_1e-3_p_100,100,316.81,0.0010017182938570634,500.0,0.91455185
1e-3,beta_grid_search_SP_INL_1e-3_p_200,200,637.16,0.0010008223978975222,650.0,0.9180416
1e-3,beta_grid_search_SP_INL_1e-3_p_50,50,156.62,0.0010035739525404877,400.0,0.90760916
1e-4,beta_grid_search_SP_INL_1e-4_p_100,100,1003.53,0.00010018950255648066,450.0,0.9135992
1e-4,beta_grid_search_SP_INL_1e-4_p_200,200,2018.36,0.00010009197879367991,700.0,0.91750914
1e-4,beta_grid_search_SP_INL_1e-4_p_50,50,496.05,0.0001003983022847452,300.0,0.8999851
1e-5,beta_grid_search_SP_INL_1e-5_p_100,100,3173.88,1.0019671476955673e-05,550.0,0.91373336
1e-5,beta_grid_search_SP_INL_1e-5_p_200,200,6383.62,1.0009569600626806e-05,600.0,0.91732484
1e-5,beta_grid_search_SP_INL_1e-5_p_50,50,1568.79,1.0041447953599432e-05,250.0,0.89797586
2e-1,beta_grid_search_SP_INL_2e-1_p_100,100,11.82,0.1999998164113142,100.0,0.86573416
2e-1,beta_grid_search_SP_INL_2e-1_p_200,200,23.76,0.20001388454499738,200.0,0.8895958
2e-1,beta_grid_search_SP_INL_2e-1_p_50,50,5.85,0.1999355340856478,100.0,0.8478983
4.82e-6,beta_grid_search_SP_INL_4.82e-6_p_100,100,4567.9,4.837374997954803e-06,400.0,0.91318995
4.82e-6,beta_grid_search_SP_INL_4.82e-6_p_200,200,9187.43,4.832479578165807e-06,700.0,0.9172541
4.82e-6,beta_grid_search_SP_INL_4.82e-6_p_50,50,2257.81,4.8479617130573945e-06,250.0,0.89698845
5e-2,beta_grid_search_SP_INL_5e-2_p_100,100,40.29,0.050023755621598984,350.0,0.90288574
5e-2,beta_grid_search_SP_INL_5e-2_p_200,200,81.0,0.05001574539336678,600.0,0.9117958
5e-2,beta_grid_search_SP_INL_5e-2_p_50,50,19.93,0.05005311851866627,200.0,0.88437825
5e-3,beta_grid_search_SP_INL_5e-3_p_100,100,140.58,0.005006882459121368,450.0,0.91110426
5e-3,beta_grid_search_SP_INL_5e-3_p_200,200,282.7,0.005003474230990541,750.0,0.9173958
5e-3,beta_grid_search_SP_INL_5e-3_p_50,50,69.51,0.005014447039369576,250.0,0.9016258
5e-4,beta_grid_search_SP_INL_5e-4_p_100,100,448.47,0.0005008800953636666,450.0,0.91402835
5e-4,beta_grid_search_SP_INL_5e-4_p_200,200,901.95,0.0005004345444948499,700.0,0.9179793
5e-4,beta_grid_search_SP_INL_5e-4_p_50,50,221.69,0.0005018877936938484,350.0,0.90689826
5e-5,beta_grid_search_SP_INL_5e-5_p_100,100,1419.32,5.00964433958824e-05,450.0,0.9141592
5e-5,beta_grid_search_SP_INL_5e-5_p_200,200,2854.65,5.0046759141139404e-05,650.0,0.9173267
5e-5,beta_grid_search_SP_INL_5e-5_p_50,50,701.56,5.0203162129280636e-05,350.0,0.9067658
