curva,beta_hidden,beta_output,producto,acc_mean,acc_sem
lineal,10.00,18087.16,180871.6,0.853333,0.019508
lineal,50.00,3617.43,180871.6,0.905517,0.002710
lineal,100.00,1808.72,180871.6,0.897883,0.005764
lineal,425.29,425.29,180871.6,0.947783,0.002289
lineal,2000.00,90.44,180871.6,0.928733,0.001515
lineal,5000.00,36.17,180871.6,0.896950,0.001398
no_lineal,10.00,14785.56,147855.6,0.887400,0.004456
no_lineal,50.00,2957.11,147855.6,0.875800,0.025828
no_lineal,100.00,1478.56,147855.6,0.890233,0.008304
no_lineal,384.52,384.52,147855.6,0.933167,0.002499
no_lineal,2000.00,73.93,147855.6,0.893983,0.010480
no_lineal,5000.00,29.57,147855.6,0.880017,0.001429
