carpeta,inl_tag,inl_pot_real,pulsos_pot,batch_number,epochs,sigma_W,paso_medio,beta_optimo_empirico
beta_grid_search_SP_INL_4.82e-6_p_200,4.82e-6,4.832479578165807e-06,200,32,100,0.000367748987628147,4.500244020137152e-06,700.0
beta_grid_search_SP_INL_4.82e-6_p_100,4.82e-6,4.837374997954803e-06,100,32,100,0.00036697491304948926,9.000981612515203e-06,400.0
beta_grid_search_SP_INL_4.82e-6_p_50,4.82e-6,4.8479617130573945e-06,50,32,100,0.0003666698466986418,1.8003972036512533e-05,250.0
beta_grid_search_SP_INL_1e-5_p_200,1e-5,1.0009569600626806e-05,200,32,100,0.0003677559143397957,4.500350642417017e-06,600.0
beta_grid_search_SP_INL_1e-5_p_100,1e-5,1.0019671476955673e-05,100,32,100,0.00036698326584883034,9.00141052558186e-06,550.0
beta_grid_search_SP_INL_1e-5_p_50,1e-5,1.0041447953599432e-05,50,32,100,0.00036667511449195445,1.8005707641332828e-05,250.0
beta_grid_search_SP_INL_5e-5_p_200,5e-5,5.0046759141139404e-05,200,32,100,0.00036780614755116403,4.50077907532871e-06,650.0
beta_grid_search_SP_INL_5e-5_p_100,5e-5,5.00964433958824e-05,100,32,100,0.0003670354199130088,9.003134036455173e-06,450.0
beta_grid_search_SP_INL_5e-5_p_50,5e-5,5.0203162129280636e-05,50,32,100,0.00036672037094831467,1.8012682174168357e-05,350.0
beta_grid_search_SP_INL_1e-4_p_200,1e-4,0.00010009197879367991,200,32,100,0.00036786278360523283,4.5010965386047425e-06,700.0
beta_grid_search_SP_INL_1e-4_p_100,1e-4,0.00010018950255648066,100,32,100,0.0003670913283713162,9.004411162757985e-06,450.0
beta_grid_search_SP_INL_1e-4_p_50,1e-4,0.0001003983022847452,50,32,100,0.0003667848068289459,1.8017850478851e-05,300.0
beta_grid_search_SP_INL_5e-4_p_200,5e-4,0.0005004345444948499,200,32,100,0.0003683455870486796,4.502403349325573e-06,700.0
beta_grid_search_SP_INL_5e-4_p_100,5e-4,0.0005008800953636666,100,32,100,0.00036757526686415076,9.00966857245229e-06,450.0
beta_grid_search_SP_INL_5e-4_p_50,5e-4,0.0005018877936938484,50,32,100,0.00036727346014231443,1.8039130164807553e-05,350.0
beta_grid_search_SP_INL_1e-3_p_200,1e-3,0.0010008223978975222,200,32,100,0.0003689439326990396,4.503348561224048e-06,650.0
beta_grid_search_SP_INL_1e-3_p_100,1e-3,0.0010017182938570634,100,32,100,0.00036818423541262746,9.013471879788292e-06,500.0
beta_grid_search_SP_INL_1e-3_p_50,1e-3,0.0010035739525404877,50,32,100,0.00036790495505556464,1.8054524440313995e-05,400.0
beta_grid_search_SP_INL_5e-3_p_200,5e-3,0.005003474230990541,200,32,100,0.0003737297956831753,4.507036040142572e-06,750.0
beta_grid_search_SP_INL_5e-3_p_100,5e-3,0.005006882459121368,100,32,100,0.000373015966033563,9.028309785433272e-06,450.0
beta_grid_search_SP_INL_5e-3_p_50,5e-3,0.005014447039369576,50,32,100,0.0003728329320438206,1.8114601953003136e-05,250.0
beta_grid_search_SP_INL_1e-2_p_50,1e-2,0.009959610328542564,50,32,100,0.00037885273923166096,1.8154351307559363e-05,250.0
beta_grid_search_SP_INL_1e-2_p_100,1e-2,0.009984686048393763,100,32,100,0.000378946220735088,9.038186628152797e-06,350.0
beta_grid_search_SP_INL_1e-2_p_200,1e-2,0.009996308077117336,200,32,100,0.00037963679642416537,4.509497271899518e-06,750.0
beta_grid_search_SP_INL_5e-2_p_200,5e-2,0.05001574539336678,200,32,100,0.00042464310536161065,4.517417024525361e-06,600.0
beta_grid_search_SP_INL_5e-2_p_100,5e-2,0.050023755621598984,100,32,100,0.0004242580325808376,9.070074124197043e-06,350.0
beta_grid_search_SP_INL_5e-2_p_50,5e-2,0.05005311851866627,50,32,100,0.00042492468492127955,1.828363475033765e-05,200.0
beta_grid_search_SP_INL_2e-1_p_50,2e-1,0.1999355340856478,50,32,100,0.000557033927179873,1.8366682118813327e-05,100.0
beta_grid_search_SP_INL_2e-1_p_100,2e-1,0.1999998164113142,100,32,100,0.0005562534206546843,9.090739130297238e-06,100.0
beta_grid_search_SP_INL_2e-1_p_200,2e-1,0.20001388454499738,200,32,100,0.0005564700695686042,4.522570098551309e-06,200.0
