carpeta,inl_tag,pulsos_pot,beta_optimo_grilla,acc_pico,beta_pred_formula,beta_grid_mas_cercano,acc_en_beta_pred,pct_del_pico
beta_grid_search_SP_INL_1e-2_p_100,1e-2,100,350.0,0.90906656,421.0045234404288,400.0,0.9084584,99.93310212708091
beta_grid_search_SP_INL_1e-2_p_200,1e-2,200,750.0,0.9162667,643.6731488640053,650.0,0.9161115,99.98306705964792
beta_grid_search_SP_INL_1e-2_p_50,1e-2,50,250.0,0.8946592,273.79324291324536,250.0,0.8946592,100.0
beta_grid_search_SP_INL_1e-3_p_100,1e-3,100,500.0,0.91455185,459.8198928816017,450.0,0.91437256,99.98039577847074
beta_grid_search_SP_INL_1e-3_p_200,1e-3,200,650.0,0.9180416,701.7175601001509,700.0,0.91803575,99.99936372651615
beta_grid_search_SP_INL_1e-3_p_50,1e-3,50,400.0,0.90760916,299.962168412609,300.0,0.90624654,99.84986689897094
beta_grid_search_SP_INL_1e-4_p_100,1e-4,100,450.0,0.9135992,464.22414161415367,450.0,0.9135992,100.0
beta_grid_search_SP_INL_1e-4_p_200,1e-4,200,700.0,0.91750914,708.150732129312,700.0,0.91750914,100.0
beta_grid_search_SP_INL_1e-4_p_50,1e-4,50,300.0,0.8999851,303.0713043368311,300.0,0.8999851,100.0
beta_grid_search_SP_INL_1e-5_p_100,1e-5,100,550.0,0.91373336,464.71825206864355,450.0,0.9135617,99.98121318714236
beta_grid_search_SP_INL_1e-5_p_200,1e-5,200,600.0,0.91732484,708.8170112204895,700.0,0.91705996,99.97112440113509
beta_grid_search_SP_INL_1e-5_p_50,1e-5,50,250.0,0.89797586,303.46840937413833,300.0,0.89730924,99.92576433561769
beta_grid_search_SP_INL_2e-1_p_100,2e-1,100,100.0,0.86573416,132.5262618805837,150.0,0.8642741,99.83134829997833
beta_grid_search_SP_INL_2e-1_p_200,2e-1,200,200.0,0.8895958,204.62488284242622,200.0,0.8895958,100.0
beta_grid_search_SP_INL_2e-1_p_50,2e-1,50,100.0,0.8478983,85.82396722688576,100.0,0.8478983,100.0
beta_grid_search_SP_INL_4.82e-6_p_100,4.82e-6,100,400.0,0.91318995,464.76715040256505,450.0,0.91313505,99.99398855868026
beta_grid_search_SP_INL_4.82e-6_p_200,4.82e-6,200,700.0,0.9172541,708.8694774798546,700.0,0.9172541,100.0
beta_grid_search_SP_INL_4.82e-6_p_50,4.82e-6,50,250.0,0.89698845,303.5016621676385,300.0,0.89139175,99.37605692456407
beta_grid_search_SP_INL_5e-2_p_100,5e-2,100,350.0,0.90288574,299.2556865101586,300.0,0.90260506,99.96891320115536
beta_grid_search_SP_INL_5e-2_p_200,5e-2,200,600.0,0.9117958,459.7959426737386,450.0,0.91126925,99.94225160558382
beta_grid_search_SP_INL_5e-2_p_50,5e-2,50,200.0,0.88437825,193.3030269067129,200.0,0.88437825,100.0
beta_grid_search_SP_INL_5e-3_p_100,5e-3,100,450.0,0.91110426,441.7025356347685,450.0,0.91110426,100.0
beta_grid_search_SP_INL_5e-3_p_200,5e-3,200,750.0,0.9173958,674.8127602046583,650.0,0.9172475,99.98383507304462
beta_grid_search_SP_INL_5e-3_p_50,5e-3,50,250.0,0.9016258,287.61704815073915,300.0,0.90080076,99.90849335922385
beta_grid_search_SP_INL_5e-4_p_100,5e-4,100,450.0,0.91402835,462.23725411293407,450.0,0.91402835,100.0
beta_grid_search_SP_INL_5e-4_p_200,5e-4,200,700.0,0.9179793,705.2238176250243,700.0,0.9179793,100.0
beta_grid_search_SP_INL_5e-4_p_50,5e-4,50,350.0,0.90689826,301.65790110553417,300.0,0.90605825,99.9073756896709
beta_grid_search_SP_INL_5e-5_p_100,5e-5,100,450.0,0.9141592,464.4648748322314,450.0,0.9141592,100.0
beta_grid_search_SP_INL_5e-5_p_200,5e-5,200,650.0,0.9173267,708.4898092644478,700.0,0.9171259,99.97810942920255
beta_grid_search_SP_INL_5e-5_p_50,5e-5,50,350.0,0.9067658,303.2748871571236,300.0,0.9066133,99.98317886681961
