carpeta,inl_tag,inl_pot_real,pulsos_pot,a_pot,paso_medio_pot,beta_optimo_empirico,sigma_W_corregido,mean_W_corregido,mean_I_mc_corregido,sigma_I_mc_corregido,mean_I_mc_sesgado,sigma_I_mc_sesgado,mean_I_real_ep1,sigma_I_real_ep1,mean_I_real_epLast,sigma_I_real_epLast,n_epoca_last
beta_grid_search_SP_INL_1e-2_p_100,1e-2,0.009984686048393763,100,98.55,9.038186628152797e-06,350.0,0.00037894620730225,-5.156888805133618e-07,-4.890532468997728e-05,0.0035520656874769626,0.05514321882327823,0.006033369342484281,-0.0016961436,0.018200694,-0.002951498,0.03193695,100
beta_grid_search_SP_INL_1e-2_p_200,1e-2,0.009996308077117336,200,197.99,4.509497271899518e-06,750.0,0.00037963678670836163,-6.803828049524778e-07,-6.455825250102383e-05,0.00355886540010826,0.05665486113495637,0.006021776176518024,-0.0014540885,0.010554014,-0.0029490422,0.032149404,100
beta_grid_search_SP_INL_1e-2_p_50,1e-2,0.009959610328542564,50,48.83,1.8154351307559363e-05,250.0,0.00037885274637115504,7.675216265875131e-07,8.213031494335216e-05,0.003550448132765169,0.05211527128204799,0.006042688448124269,-0.002795574,0.027854478,-0.0029269368,0.03153276,100
beta_grid_search_SP_INL_1e-3_p_100,1e-3,0.0010017182938570634,100,316.81,9.013471879788292e-06,500.0,0.0003681842507712489,-5.031573102304596e-07,-4.7594208397145933e-05,0.003451193352482521,0.015009880149567641,0.005957556980549925,-0.0028216965,0.03196175,-0.0026260903,0.031804897,100
beta_grid_search_SP_INL_1e-3_p_200,1e-3,0.0010008223978975222,200,637.16,4.503348561224048e-06,650.0,0.00036894393290603546,-6.687932231676558e-07,-6.348228153540951e-05,0.0034589531792451346,0.01667164661099785,0.005950589523693469,-0.0030134767,0.032284215,-0.002627521,0.032090854,100
beta_grid_search_SP_INL_1e-3_p_50,1e-3,0.0010035739525404877,50,156.62,1.8054524440313995e-05,400.0,0.00036790493762126097,7.416668283261753e-07,7.940183136146655e-05,0.003448043439185864,0.011687397544192896,0.0059545594661038525,-0.002606325,0.031347763,-0.0026217285,0.031243829,100
beta_grid_search_SP_INL_1e-4_p_100,1e-4,0.00010018950255648066,100,1003.53,9.004411162757985e-06,450.0,0.00036709131892513695,-5.083960737703266e-07,-4.812049711100022e-05,0.0034409664420880625,0.0023398540368512457,0.005947845080310167,-0.0028384095,0.031928223,-0.0025653697,0.031705618,100
beta_grid_search_SP_INL_1e-4_p_200,1e-4,0.00010009197879351484,200,2018.36,4.5010965386047425e-06,700.0,0.0003678627618042332,-6.581221516141571e-07,-6.238173980966633e-05,0.003448810985514322,0.004070741673582854,0.0059422475438041964,-0.0030350026,0.032285944,-0.0025724398,0.032026477,100
beta_grid_search_SP_INL_1e-4_p_50,1e-4,0.0001003983022847452,50,496.05,1.8017850478851e-05,300.0,0.00036678478469366025,7.229010438673814e-07,7.744586168878294e-05,0.003437661949130574,-0.0011220056421750203,0.005941147560962854,-0.0025442303,0.031227944,-0.002563171,0.031117074,100
beta_grid_search_SP_INL_1e-5_p_100,1e-5,1.0019671477120793e-05,100,3173.88,9.00141052558186e-06,550.0,0.0003669832493744927,-5.150920014389513e-07,-4.8882432098512316e-05,0.0034399837739145828,-0.0016656230444388432,0.0059462225412539255,-0.002868303,0.031926334,-0.00253916,0.03167694,100
beta_grid_search_SP_INL_1e-5_p_200,1e-5,1.0009569600626806e-05,200,6383.62,4.500350642417017e-06,600.0,0.0003677559132036826,-6.640823928370619e-07,-6.303507771787454e-05,0.0034478486758454537,8.742435637108773e-05,0.005941043058057378,-0.0030459487,0.032283965,-0.0025638456,0.03201457,100
beta_grid_search_SP_INL_1e-5_p_50,1e-5,1.0041447953599432e-05,50,1568.79,1.8005707641332828e-05,250.0,0.00036667511310264206,7.280560046275091e-07,7.784335008896724e-05,0.0034366405687078594,-0.005172377699741691,0.005938393962532834,-0.002548937,0.031200884,-0.002520303,0.031063898,100
beta_grid_search_SP_INL_2e-1_p_100,2e-1,0.1999998164113142,100,11.82,9.090739130297238e-06,100.0,0.0005562534064479363,-1.006910537598485e-06,-9.956265180154695e-05,0.005213830575779222,0.2659790820961127,0.007151471722073731,-0.0031383883,0.030002015,-0.0033366515,0.031755343,100
