carpeta,inl_tag,pulsos_pot,fuente,sigma_I,kappa_implicado,beta_pred_prezioso_literal,beta_optimo_empirico
beta_grid_search_SP_INL_1e-2_p_100,1e-2,100.0,MC corregido (G0_init+pixeles reales),0.0035520656874769626,1.243222990616937,396.85338130741195,350.0
beta_grid_search_SP_INL_1e-2_p_200,1e-2,200.0,MC corregido (G0_init+pixeles reales),0.00355886540010826,2.6691490500811947,396.09513713510717,750.0
beta_grid_search_SP_INL_1e-2_p_50,1e-2,50.0,MC corregido (G0_init+pixeles reales),0.003550448132765169,0.8876120331912922,397.0341844153072,250.0
beta_grid_search_SP_INL_1e-3_p_100,1e-3,100.0,MC corregido (G0_init+pixeles reales),0.003451193352482521,1.7255966762412605,408.45271033200066,500.0
beta_grid_search_SP_INL_1e-3_p_200,1e-3,200.0,MC corregido (G0_init+pixeles reales),0.0034589531792451346,2.2483195665093376,407.5363861990478,650.0
beta_grid_search_SP_INL_1e-3_p_50,1e-3,50.0,MC corregido (G0_init+pixeles reales),0.003448043439185864,1.3792173756743455,408.82584676314553,400.0
beta_grid_search_SP_INL_1e-4_p_100,1e-4,100.0,MC corregido (G0_init+pixeles reales),0.0034409664420880625,1.5484348989396282,409.66667429800907,450.0
beta_grid_search_SP_INL_1e-4_p_200,1e-4,200.0,MC corregido (G0_init+pixeles reales),0.003448810985514322,2.4141676898600255,408.73486097732547,700.0
beta_grid_search_SP_INL_1e-4_p_50,1e-4,50.0,MC corregido (G0_init+pixeles reales),0.003437661949130574,1.0312985847391722,410.06047120421096,300.0
beta_grid_search_SP_INL_1e-5_p_100,1e-5,100.0,MC corregido (G0_init+pixeles reales),0.0034399837739145828,1.8919910756530205,409.7836999670313,550.0
beta_grid_search_SP_INL_1e-5_p_200,1e-5,200.0,MC corregido (G0_init+pixeles reales),0.0034478486758454537,2.068709205507272,408.84894066750377,600.0
beta_grid_search_SP_INL_1e-5_p_50,1e-5,50.0,MC corregido (G0_init+pixeles reales),0.0034366405687078594,0.8591601421769648,410.18234247036276,250.0
beta_grid_search_SP_INL_2e-1_p_100,2e-1,100.0,MC corregido (G0_init+pixeles reales),0.005213830575779222,0.5213830575779222,270.36729679130264,100.0
beta_grid_search_SP_INL_2e-1_p_200,2e-1,200.0,MC corregido (G0_init+pixeles reales),0.005209817843905222,1.0419635687810445,270.5755404385908,200.0
beta_grid_search_SP_INL_2e-1_p_50,2e-1,50.0,MC corregido (G0_init+pixeles reales),0.005212504627746138,0.5212504627746137,270.4360723629314,100.0
beta_grid_search_SP_INL_4.82e-6_p_100,4.82e-6,100.0,MC corregido (G0_init+pixeles reales),0.00343989701219202,1.3759588048768079,409.7940356077674,400.0
beta_grid_search_SP_INL_4.82e-6_p_200,4.82e-6,200.0,MC corregido (G0_init+pixeles reales),0.003447780516235849,2.4134463613650943,408.8570232539828,700.0
beta_grid_search_SP_INL_4.82e-6_p_50,4.82e-6,50.0,MC corregido (G0_init+pixeles reales),0.0034365834381783643,0.8591458595445911,410.1891614331019,250.0
beta_grid_search_SP_INL_5e-2_p_100,5e-2,100.0,MC corregido (G0_init+pixeles reales),0.0039768674453367426,1.39190360586786,354.4622238677374,350.0
